Nfield Nchip l b
0 0 -0.382 -1.132
0 1 -0.529 -1.132
0 2 -0.659 -1.133
0 3 -0.356 -0.996
0 4 -0.502 -0.997
0 5 -0.633 -0.997
0 6 -0.29 -0.861
0 7 -0.438 -0.861
0 8 -0.567 -0.86
0 9 -0.382 -1.268
0 10 -0.528 -1.268
0 11 -0.659 -1.268
0 12 -0.354 -1.403
0 13 -0.501 -1.404
0 14 -0.631 -1.404
0 15 -0.288 -1.538
0 16 -0.436 -1.539
0 17 -0.565 -1.541
1 0 0.027 -1.132
1 1 -0.119 -1.132
1 2 -0.25 -1.133
1 3 0.054 -0.996
1 4 -0.093 -0.997
1 5 -0.223 -0.997
1 6 0.119 -0.861
1 7 -0.028 -0.861
1 8 -0.158 -0.86
1 9 0.027 -1.268
1 10 -0.119 -1.268
1 11 -0.25 -1.268
1 12 0.054 -1.403
1 13 -0.092 -1.404
1 14 -0.223 -1.404
1 15 0.12 -1.538
1 16 -0.027 -1.539
1 17 -0.157 -1.54
2 0 0.436 -1.132
2 1 0.29 -1.132
2 2 0.159 -1.132
2 3 0.463 -0.996
2 4 0.317 -0.996
2 5 0.186 -0.996
2 6 0.529 -0.861
2 7 0.381 -0.861
2 8 0.252 -0.86
2 9 0.436 -1.268
2 10 0.29 -1.268
2 11 0.159 -1.267
2 12 0.463 -1.403
2 13 0.316 -1.403
2 14 0.186 -1.403
2 15 0.528 -1.539
2 16 0.381 -1.539
2 17 0.252 -1.54
3 0 0.845 -1.132
3 1 0.699 -1.132
3 2 0.568 -1.132
3 3 0.872 -0.997
3 4 0.726 -0.996
3 5 0.595 -0.996
3 6 0.938 -0.862
3 7 0.791 -0.861
3 8 0.662 -0.86
3 9 0.845 -1.268
3 10 0.698 -1.267
3 11 0.568 -1.267
3 12 0.872 -1.403
3 13 0.725 -1.403
3 14 0.594 -1.403
3 15 0.937 -1.539
3 16 0.789 -1.539
3 17 0.66 -1.54
4 0 1.254 -1.132
4 1 1.108 -1.132
4 2 0.977 -1.131
4 3 1.282 -0.997
4 4 1.135 -0.996
4 5 1.005 -0.996
4 6 1.348 -0.862
4 7 1.201 -0.861
4 8 1.071 -0.859
4 9 1.254 -1.268
4 10 1.107 -1.267
4 11 0.976 -1.267
4 12 1.28 -1.404
4 13 1.133 -1.403
4 14 1.003 -1.402
4 15 1.345 -1.539
4 16 1.198 -1.539
4 17 1.068 -1.539
5 0 0.035 -0.057
5 1 -0.111 -0.058
5 2 -0.242 -0.06
5 3 0.061 0.079
5 4 -0.086 0.078
5 5 -0.216 0.076
5 6 0.125 0.215
5 7 -0.022 0.214
5 8 -0.152 0.214
5 9 0.037 -0.192
5 10 -0.11 -0.194
5 11 -0.241 -0.195
5 12 0.065 -0.328
5 13 -0.081 -0.329
5 14 -0.212 -0.331
5 15 0.132 -0.462
5 16 -0.015 -0.464
5 17 -0.145 -0.467
